t,E,Ttrans,Trot,Tgyro,Trel,Vslosh,Vcoup,Hx,Hy,Hz,Hn,Px,Py,Pz,s,sd,th1,th2
7.160000000000e+0,2.472930255808e+0,0.000000000000e+0,9.802714548311e-1,-3.033641100568e-1,1.244422635285e+0,4.888766403091e-1,6.272363543948e-2,3.057402047114e+1,8.609316135750e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.321988487338e-2,1.228292495745e-2,-8.697789001523e-2,-1.982037173931e-2
7.180000000000e+0,2.472930255808e+0,0.000000000000e+0,9.817967996515e-1,-3.070375568485e-1,1.265090353034e+0,4.651770804009e-1,6.790357956968e-2,3.057402047114e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.297152279021e-2,1.255028717796e-2,-8.624453159200e-2,-1.636787682782e-2
7.200000000000e+0,2.472930255808e+0,0.000000000000e+0,9.829779531993e-1,-3.101019392874e-1,1.282934736492e+0,4.439351606210e-1,7.318434478359e-2,3.057402047114e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.271799399943e-2,1.279955835418e-2,-8.544326742377e-2,-1.289922697568e-2
7.220000000000e+0,2.472930255808e+0,0.000000000000e+0,9.838106646620e-1,-3.125473457629e-1,1.297892049288e+0,4.252308391346e-1,7.854404848603e-2,3.057402047114e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.245966247099e-2,1.303052822709e-2,-8.457448443784e-2,-9.419763638244e-3
7.240000000000e+0,2.472930255808e+0,0.000000000000e+0,9.842928300706e-1,-3.143680557150e-1,1.309919091250e+0,4.091266668909e-1,8.395972331175e-2,3.057402047114e+1,8.609316135748e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.219689610043e-2,1.324301453233e-2,-8.363862330540e-2,-5.934838098802e-3
7.260000000000e+0,2.472930255808e+0,0.000000000000e+0,9.844244930236e-1,-3.155625470790e-1,1.318993316529e+0,3.956675603083e-1,8.940743302612e-2,3.057402047114e+1,8.609316135748e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.193006614709e-2,1.343686317651e-2,-8.263617845990e-2,-2.449803091032e-3
7.280000000000e+0,2.472930255808e+0,0.000000000000e+0,9.842078314150e-1,-3.161334757070e-1,1.325112813583e+0,3.848806894098e-1,9.486239710693e-2,3.057402047114e+1,8.609316135748e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.165954666953e-2,1.361194834489e-2,-8.156769806925e-2,1.029995577274e-3
7.300000000000e+0,2.472930255808e+0,0.000000000000e+0,9.836471302761e-1,-3.160876269564e-1,1.328296147589e+0,3.767754815420e-1,1.002991233571e-1,3.057402047114e+1,8.609316135747e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.138571395944e-2,1.376817254058e-2,-8.043378396155e-2,4.499227385208e-3
7.320000000000e+0,2.472930255807e+0,0.000000000000e+0,9.827487409338e-1,-3.154358398201e-1,1.328582066811e+0,3.713437400455e-1,1.056915478370e-1,3.057402047114e+1,8.609316135747e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.110894597542e-2,1.390546655551e-2,-7.923509150428e-2,7.952585430448e-3
7.340000000000e+0,2.472930255807e+0,0.000000000000e+0,9.815210267775e-1,-3.141929041571e-1,1.326029075357e+0,3.685598764834e-1,1.110131813470e-1,3.057402047114e+1,8.609316135746e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.082962177812e-2,1.402378937404e-2,-7.797232943683e-2,1.138479471769e-2
7.360000000000e+0,2.472930255807e+0,0.000000000000e+0,9.799742960181e-1,-3.123774317621e-1,1.320714875623e+0,3.683812542883e-1,1.162372616396e-1,3.057402047114e+1,8.609316135746e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.054812096788e-2,1.412312801063e-2,-7.664625965634e-2,1.479062038995e-2
7.380000000000e+0,2.472930255807e+0,0.000000000000e+0,9.781207219061e-1,-3.100117021889e-1,1.312735684642e+0,3.707486409566e-1,1.213369104916e-1,3.057402047113e+1,8.609316135746e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.026482312628e-2,1.420349728329e-2,-7.525769695683e-2,1.816487588903e-2
7.400000000000e+0,2.472930255807e+0,0.000000000000e+0,9.759742509617e-1,-3.071214844099e-1,1.302205429317e+0,3.755867652133e-1,1.262852947246e-1,3.057402047113e+1,8.609316135746e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-9.980107262832e-3,1.426493952507e-2,-7.380750872179e-2,2.150243103148e-2
7.420000000000e+0,2.472930255807e+0,0.000000000000e+0,9.735504998477e-1,-3.037358355583e-1,1.289254826406e+0,3.828049748869e-1,1.310557902247e-1,3.057402047113e+1,8.609316135745e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-9.694351268126e-3,1.430752423626e-2,-7.229661457017e-2,2.479821998676e-2
7.440000000000e+0,2.472930255807e+0,0.000000000000e+0,9.708666415933e-1,-2.998868781516e-1,1.274030353790e+0,3.922979905932e-1,1.356221479821e-1,3.057402047113e+1,8.609316135745e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-9.407931374377e-3,1.433134768013e-2,-7.072598595612e-2,2.804724914447e-2
7.460000000000e+0,2.472930255807e+0,0.000000000000e+0,9.679412819464e-1,-2.956095573389e-1,1.256693120344e+0,4.039467497102e-1,1.399586611447e-1,3.057402047113e+1,8.609316135745e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-9.121221624676e-3,1.433653242578e-2,-6.909664572237e-2,3.124460485759e-2
7.480000000000e+0,2.472930255807e+0,0.000000000000e+0,9.647943266974e-1,-2.909413798487e-1,1.237417642333e+0,4.176193345641e-1,1.440403320608e-1,3.057402047113e+1,8.609316135745e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-8.834593351857e-3,1.432322684141e-2,-6.740966760775e-2,3.438546104933e-2
7.500000000000e+0,2.472930255807e+0,0.000000000000e+0,9.614468408785e-1,-2.859221364355e-1,1.216390534870e+0,4.331719782190e-1,1.478430382743e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-8.548414667964e-3,1.429160454209e-2,-6.566617570884e-2,3.746508667115e-2
7.520000000000e+0,2.472930255807e+0,0.000000000000e+0,9.579209007941e-1,-2.805936097327e-1,1.193809127527e+0,4.504501407917e-1,1.513436964270e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-8.263049965190e-3,1.424186379584e-2,-6.386734389600e-2,4.047885300003e-2
7.540000000000e+0,2.472930255807e+0,0.000000000000e+0,9.542394398874e-1,-2.749992695152e-1,1.169880013623e+0,4.692896487876e-1,1.545204230240e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-7.978859429068e-3,1.417422689230e-2,-6.201439518419e-2,4.342224076338e-2
7.560000000000e+0,2.472930255806e+0,0.000000000000e+0,9.504260894860e-1,-2.691839574590e-1,1.144817543169e+0,4.895178895866e-1,1.573526910238e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-7.696198564636e-3,1.408893947814e-2,-6.010860105856e-2,4.629084708048e-2
7.580000000000e+0,2.472930255806e+0,0.000000000000e+0,9.465050155042e-1,-2.631935635511e-1,1.118842269734e+0,5.109550528929e-1,1.598214812263e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-7.415417736186e-3,1.398626986354e-2,-5.815128075533e-2,4.908039220943e-2
7.600000000000e+0,2.472930255806e+0,0.000000000000e+0,9.425007522038e-1,-2.570746963594e-1,1.092179361801e+0,5.334154107092e-1,1.619094274517e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-7.136861721136e-3,1.386650830391e-2,-5.614380049797e-2,5.178672608940e-2
7.620000000000e+0,2.472930255806e+0,0.000000000000e+0,9.384380341363e-1,-2.508743494067e-1,1.065056989353e+0,5.567086271967e-1,1.636009545268e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-6.860869278491e-3,1.372996626096e-2,-5.408757268919e-2,5.440583466819e-2
7.640000000000e+0,2.472930255806e+0,0.000000000000e+0,9.343416273960e-1,-2.446395659199e-1,1.037704696556e+0,5.806410896465e-1,1.648824081271e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-6.587772732237e-3,1.357697564735e-2,-5.198405505874e-2,5.693384600543e-2
7.660000000000e+0,2.472930255806e+0,0.000000000000e+0,9.302361613210e-1,-2.384171042314e-1,1.010351771452e+0,6.050172517058e-1,1.657421755592e-1,3.057402047113e+1,8.609316135744e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-6.317897569992e-3,1.340788805861e-2,-4.983474976750e-2,5.936703614257e-2
7.680000000000e+0,2.472930255806e+0,0.000000000000e+0,9.261459617705e-1,-2.322531061006e-1,9.832256235404e-1,6.296409799864e-1,1.661707966094e-1,3.057402047113e+1,8.609316135745e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-6.051562057105e-3,1.322307399596e-2,-4.764120246801e-2,6.170183473091e-2
7.700000000000e+0,2.472930255806e+0,0.000000000000e+0,9.220948870987e-1,-2.261927702042e-1,9.565501800591e-1,6.543168952182e-1,1.661610636342e-1,3.057402047113e+1,8.609316135745e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-5.789076866362e-3,1.302292208370e-2,-4.540500132176e-2,6.393483040956e-2
